,Region,Year,Value
0,East Asia & Pacific,1960,5.882176470588235
1,East Asia & Pacific,1961,5.807882352941176
2,East Asia & Pacific,1962,5.859529411764705
3,East Asia & Pacific,1963,5.858735294117647
4,East Asia & Pacific,1964,5.765294117647059
5,East Asia & Pacific,1965,5.683941176470588
6,East Asia & Pacific,1966,5.576794117647059
7,East Asia & Pacific,1967,5.480882352941176
8,East Asia & Pacific,1968,5.39764705882353
9,East Asia & Pacific,1969,5.308588235294117
10,East Asia & Pacific,1970,5.224617647058824
11,East Asia & Pacific,1971,5.142970588235293
12,East Asia & Pacific,1972,5.040264705882353
13,East Asia & Pacific,1973,4.900617647058824
14,East Asia & Pacific,1974,4.739882352941176
15,East Asia & Pacific,1975,4.586117647058823
16,East Asia & Pacific,1976,4.4575588235294115
17,East Asia & Pacific,1977,4.3408235294117645
18,East Asia & Pacific,1978,4.272970588235294
19,East Asia & Pacific,1979,4.267235294117647
20,East Asia & Pacific,1980,4.253941176470589
21,East Asia & Pacific,1981,4.219617647058824
22,East Asia & Pacific,1982,4.164617647058824
23,East Asia & Pacific,1983,4.092176470588235
24,East Asia & Pacific,1984,4.021029411764706
25,East Asia & Pacific,1985,3.9588823529411767
26,East Asia & Pacific,1986,3.8872058823529407
27,East Asia & Pacific,1987,3.8257352941176466
28,East Asia & Pacific,1988,3.769794117647059
29,East Asia & Pacific,1989,3.6868823529411765
30,East Asia & Pacific,1990,3.624657142857143
31,East Asia & Pacific,1991,3.5738529411764706
32,East Asia & Pacific,1992,3.5097941176470586
33,East Asia & Pacific,1993,3.4394411764705883
34,East Asia & Pacific,1994,3.3705588235294117
35,East Asia & Pacific,1995,3.271114285714286
36,East Asia & Pacific,1996,3.2390882352941177
37,East Asia & Pacific,1997,3.1707647058823527
38,East Asia & Pacific,1998,3.095205882352941
39,East Asia & Pacific,1999,3.0401470588235293
40,East Asia & Pacific,2000,2.9691428571428573
41,East Asia & Pacific,2001,2.934235294117647
42,East Asia & Pacific,2002,2.872970588235294
43,East Asia & Pacific,2003,2.825441176470588
44,East Asia & Pacific,2004,2.796205882352941
45,East Asia & Pacific,2005,2.7399142857142857
46,East Asia & Pacific,2006,2.7636176470588234
47,East Asia & Pacific,2007,2.758882352941176
48,East Asia & Pacific,2008,2.747264705882353
49,East Asia & Pacific,2009,2.719735294117647
50,East Asia & Pacific,2010,2.693411764705882
51,East Asia & Pacific,2011,2.6702058823529415
52,East Asia & Pacific,2012,2.6596285714285717
53,East Asia & Pacific,2013,2.616676470588235
54,East Asia & Pacific,2014,2.594411764705882
55,East Asia & Pacific,2015,2.5446857142857144
56,East Asia & Pacific,2016,2.5154117647058825
57,East Asia & Pacific,2017,2.464176470588235
58,East Asia & Pacific,2018,2.4185
59,East Asia & Pacific,2019,2.384
60,East Asia & Pacific,2020,2.294171428571429
61,East Asia & Pacific,2021,2.307235294117647
62,Europe & Central Asia,1960,3.3474615384615385
63,Europe & Central Asia,1961,3.3591764705882357
64,Europe & Central Asia,1962,3.3224038461538465
65,Europe & Central Asia,1963,3.342078431372549
66,Europe & Central Asia,1964,3.2911346153846157
67,Europe & Central Asia,1965,3.238673076923077
68,Europe & Central Asia,1966,3.1677884615384615
69,Europe & Central Asia,1967,3.125942307692308
70,Europe & Central Asia,1968,3.055788461538462
71,Europe & Central Asia,1969,3.003730769230769
72,Europe & Central Asia,1970,2.959528301886792
73,Europe & Central Asia,1971,2.9317924528301886
74,Europe & Central Asia,1972,2.8735849056603775
75,Europe & Central Asia,1973,2.7868113207547167
76,Europe & Central Asia,1974,2.7489622641509435
77,Europe & Central Asia,1975,2.672685185185185
78,Europe & Central Asia,1976,2.622148148148148
79,Europe & Central Asia,1977,2.5524259259259257
80,Europe & Central Asia,1978,2.499222222222222
81,Europe & Central Asia,1979,2.4671296296296297
82,Europe & Central Asia,1980,2.439462962962963
83,Europe & Central Asia,1981,2.3837592592592594
84,Europe & Central Asia,1982,2.3717222222222225
85,Europe & Central Asia,1983,2.342185185185185
86,Europe & Central Asia,1984,2.3264814814814816
87,Europe & Central Asia,1985,2.293574074074074
88,Europe & Central Asia,1986,2.2844074074074077
89,Europe & Central Asia,1987,2.2566592592592594
90,Europe & Central Asia,1988,2.255425925925926
91,Europe & Central Asia,1989,2.2034444444444445
92,Europe & Central Asia,1990,2.1837222222222223
93,Europe & Central Asia,1991,2.134537037037037
94,Europe & Central Asia,1992,2.071296296296296
95,Europe & Central Asia,1993,1.996388888888889
96,Europe & Central Asia,1994,1.9352962962962963
97,Europe & Central Asia,1995,1.8867962962962963
98,Europe & Central Asia,1996,1.8427037037037037
99,Europe & Central Asia,1997,1.8017222222222224
100,Europe & Central Asia,1998,1.7517407407407406
101,Europe & Central Asia,1999,1.7254444444444446
102,Europe & Central Asia,2000,1.722509090909091
103,Europe & Central Asia,2001,1.6828363636363637
104,Europe & Central Asia,2002,1.6765818181818182
105,Europe & Central Asia,2003,1.6724727272727273
106,Europe & Central Asia,2004,1.6973545454545456
107,Europe & Central Asia,2005,1.7003454545454546
108,Europe & Central Asia,2006,1.706392857142857
109,Europe & Central Asia,2007,1.7311607142857142
110,Europe & Central Asia,2008,1.7806071428571428
111,Europe & Central Asia,2009,1.7944107142857142
112,Europe & Central Asia,2010,1.7872678571428573
113,Europe & Central Asia,2011,1.7544000000000002
114,Europe & Central Asia,2012,1.7605357142857143
115,Europe & Central Asia,2013,1.7537636363636362
116,Europe & Central Asia,2014,1.7780909090909092
117,Europe & Central Asia,2015,1.7714363636363637
118,Europe & Central Asia,2016,1.7760727272727272
119,Europe & Central Asia,2017,1.7387454545454546
120,Europe & Central Asia,2018,1.7337454545454545
121,Europe & Central Asia,2019,1.7183454545454546
122,Europe & Central Asia,2020,1.6963636363636363
123,Europe & Central Asia,2021,1.7166909090909093
124,Latin America & Caribbean,1960,5.898609756097561
125,Latin America & Caribbean,1961,5.802317073170732
126,Latin America & Caribbean,1962,5.750170731707318
127,Latin America & Caribbean,1963,5.701634146341464
128,Latin America & Caribbean,1964,5.624756097560976
129,Latin America & Caribbean,1965,5.541463414634146
130,Latin America & Caribbean,1966,5.454341463414634
131,Latin America & Caribbean,1967,5.334780487804878
132,Latin America & Caribbean,1968,5.216780487804878
133,Latin America & Caribbean,1969,5.117512195121951
134,Latin America & Caribbean,1970,5.010463414634146
135,Latin America & Caribbean,1971,4.895487804878049
136,Latin America & Caribbean,1972,4.76719512195122
137,Latin America & Caribbean,1973,4.632926829268293
138,Latin America & Caribbean,1974,4.506414634146342
139,Latin America & Caribbean,1975,4.381439024390244
